name_impl, target, time_ms
H - raw, 0, 181.792
H - raw, 1, 177.743
H - raw, 2, 184.168
H - raw, 3, 180.011
H - raw, 4, 185.33
H - raw, 5, 184.3
H - raw, 6, 176.766
H - raw, 7, 191.335
H - raw, 8, 155.071
H - raw, 9, 153.176
H - raw, 10, 149.144
H - raw, 11, 149.196
H - raw, 12, 152.717
H - raw, 13, 151.478
H - raw, 14, 149.994
H - raw, 15, 150.514
H - raw, 16, 150.745
H - raw, 17, 151.26
H - raw, 18, 150.546
H - raw, 19, 150.965
H - raw, 20, 150.639
H - raw, 21, 152.294
H - raw, 22, 152.693
H - raw, 23, 151.642
H - raw, 24, 150.74
H - raw, 25, 153.909
H - raw, 26, 150.845
H - omp, 0, 131.201
H - omp, 1, 132.332
H - omp, 2, 132.318
H - omp, 3, 132.472
H - omp, 4, 133.766
H - omp, 5, 131.973
H - omp, 6, 131.707
H - omp, 7, 132.726
H - omp, 8, 132.15
H - omp, 9, 131.412
H - omp, 10, 132.958
H - omp, 11, 133.023
H - omp, 12, 133.152
H - omp, 13, 132.285
H - omp, 14, 132.353
H - omp, 15, 132.652
H - omp, 16, 132.869
H - omp, 17, 133.293
H - omp, 18, 132.532
H - omp, 19, 133.246
H - omp, 20, 132.768
H - omp, 21, 133.017
H - omp, 22, 132.745
H - omp, 23, 131.566
H - omp, 24, 125.01
H - omp, 25, 125.706
H - omp, 26, 153.361
H - avx, 0, 130.902
H - avx, 1, 105.251
H - avx, 2, 105.972
H - avx, 3, 106.831
H - avx, 4, 107.579
H - avx, 5, 108.854
H - avx, 6, 111.925
H - avx, 7, 112.888
H - avx, 8, 112.467
H - avx, 9, 117.524
H - avx, 10, 110.693
H - avx, 11, 111.437
H - avx, 12, 117.698
H - avx, 13, 119.867
H - avx, 14, 118.593
H - avx, 15, 119.958
H - avx, 16, 119.048
H - avx, 17, 120.905
H - avx, 18, 119.977
H - avx, 19, 119.387
H - avx, 20, 120.09
H - avx, 21, 118.971
H - avx, 22, 119.157
H - avx, 23, 109.322
H - avx, 24, 110.848
H - avx, 25, 131.897
H - avx, 26, 266.193
H - cuda, 0, 25.5949
H - cuda, 1, 25.5791
H - cuda, 2, 25.58
H - cuda, 3, 25.5748
H - cuda, 4, 25.5739
H - cuda, 5, 25.5743
H - cuda, 6, 25.5771
H - cuda, 7, 25.5767
H - cuda, 8, 25.5771
H - cuda, 9, 25.5771
H - cuda, 10, 25.5766
H - cuda, 11, 25.5791
H - cuda, 12, 25.5801
H - cuda, 13, 25.5801
H - cuda, 14, 25.5827
H - cuda, 15, 25.5795
H - cuda, 16, 25.5866
H - cuda, 17, 25.5806
H - cuda, 18, 25.5825
H - cuda, 19, 25.5802
H - cuda, 20, 25.5845
H - cuda, 21, 25.5848
H - cuda, 22, 25.582
H - cuda, 23, 25.5821
H - cuda, 24, 25.5851
H - cuda, 25, 25.5813
H - cuda, 26, 25.5796
