name_impl, target, time_ms
H - avx, 0, 130.902
H - avx, 1, 105.251
H - avx, 2, 105.972
H - avx, 3, 106.831
H - avx, 4, 107.579
H - avx, 5, 108.854
H - avx, 6, 111.925
H - avx, 7, 112.888
H - avx, 8, 112.467
H - avx, 9, 117.524
H - avx, 10, 110.693
H - avx, 11, 111.437
H - avx, 12, 117.698
H - avx, 13, 119.867
H - avx, 14, 118.593
H - avx, 15, 119.958
H - avx, 16, 119.048
H - avx, 17, 120.905
H - avx, 18, 119.977
H - avx, 19, 119.387
H - avx, 20, 120.09
H - avx, 21, 118.971
H - avx, 22, 119.157
H - avx, 23, 109.322
H - avx, 24, 110.848
H - avx, 25, 131.897
H - avx, 26, 266.193
