name_impl, target, time_ms
H - omp, 0, 131.201
H - omp, 1, 132.332
H - omp, 2, 132.318
H - omp, 3, 132.472
H - omp, 4, 133.766
H - omp, 5, 131.973
H - omp, 6, 131.707
H - omp, 7, 132.726
H - omp, 8, 132.15
H - omp, 9, 131.412
H - omp, 10, 132.958
H - omp, 11, 133.023
H - omp, 12, 133.152
H - omp, 13, 132.285
H - omp, 14, 132.353
H - omp, 15, 132.652
H - omp, 16, 132.869
H - omp, 17, 133.293
H - omp, 18, 132.532
H - omp, 19, 133.246
H - omp, 20, 132.768
H - omp, 21, 133.017
H - omp, 22, 132.745
H - omp, 23, 131.566
H - omp, 24, 125.01
H - omp, 25, 125.706
H - omp, 26, 153.361
